
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.9826  0.182182  0 
-0.981791  0.186186  0 
-0.980963  0.19019  0 
-0.980118  0.194194  0 
-0.979255  0.198198  0 
-0.978375  0.202202  0 
-0.977477  0.206206  0 
-0.976562  0.21021  0 
-0.975629  0.214214  0 
-0.974678  0.218218  0 
-0.97371  0.222222  0 
-0.972724  0.226226  0 
-0.971721  0.23023  0 
-0.9707  0.234234  0 
-0.969661  0.238238  0 
-0.968605  0.242242  0 
-0.967531  0.246246  0 
-0.966439  0.25025  0 
-0.96533  0.254254  0 
-0.964203  0.258258  0 
-0.963059  0.262262  0 
-0.961897  0.266266  0 
-0.960718  0.27027  0 
-0.959521  0.274274  0 
-0.958306  0.278278  0 
-0.957074  0.282282  0 
-0.955824  0.286286  0 
-0.954556  0.29029  0 
-0.953271  0.294294  0 
-0.951968  0.298298  0 
-0.950648  0.302302  0 
-0.949495  0.305753  0 
-0.949283  0.306306  0 
-0.947732  0.31031  0 
-0.94616  0.314314  0 
-0.944568  0.318318  0 
-0.942956  0.322322  0 
-0.941323  0.326326  0 
-0.939671  0.33033  0 
-0.937998  0.334334  0 
-0.936306  0.338338  0 
-0.934593  0.342342  0 
-0.93286  0.346346  0 
-0.931107  0.35035  0 
-0.929333  0.354354  0 
-0.92754  0.358358  0 
-0.925726  0.362362  0 
-0.923893  0.366366  0 
-0.922039  0.37037  0 
-0.920165  0.374374  0 
-0.91827  0.378378  0 
-0.916356  0.382382  0 
-0.914421  0.386386  0 
-0.912467  0.39039  0 
-0.910492  0.394394  0 
-0.909091  0.397206  0 
-0.908401  0.398398  0 
-0.906062  0.402402  0 
-0.9037  0.406406  0 
-0.901314  0.41041  0 
-0.898905  0.414414  0 
-0.896472  0.418418  0 
-0.894016  0.422422  0 
-0.891536  0.426426  0 
-0.889034  0.43043  0 
-0.886507  0.434434  0 
-0.883958  0.438438  0 
-0.881385  0.442442  0 
